"","altered_taxonomic_group","perc_per_taxa","libtype"
"1","Teleost",71.689497716895,"Corydoras C115 custom/denovo"
"2","Xenopus sp.",12.9375951293759,"Corydoras C115 custom/denovo"
"3","Rana sp.",11.7199391171994,"Corydoras C115 custom/denovo"
"4","Drosophila sp.",0.15220700152207,"Corydoras C115 custom/denovo"
"5","Petromyzon sp.",1.44596651445966,"Corydoras C115 custom/denovo"
"6","Anolis sp.",0.76103500761035,"Corydoras C115 custom/denovo"
"7","Lepeophtheirus sp.",0.532724505327245,"Corydoras C115 custom/denovo"
"8","Primate sp.",0.76103500761035,"Corydoras C115 custom/denovo"
